"marketName","action","usdcAmount","tokenAmount","tokenName","timestamp","hash"
"Deposited funds","Deposit","7.8421639999999995","7.8421639999999995","USDC","1774471639","0x0e29e5746791294416597036c2560ae693821b1abe20166d8b8fc29a9d3ca40b"
"Will Bitcoin reach $73,000 on April 9?","Redeem","3.739988","3.739988","","1775796561","0x6a0d2f20f2eac775921fc3c09c6844bc9b6c347a8d8806080c2a781ff4888d0d"
"Will Bitcoin dip to $67,000 on March 30?","Sell","2.07778","2.08","Yes","1774893545","0x2bbf967f01ce6e69a8b9bed4ffcbb0e04e95e5b20a993850f30482cb0785ca3a"
"Will Bitcoin reach $73,000 on April 10?","Sell","1.91795","1.92","Yes","1775837013","0x117d0db5366ca4ed3c0f2f93d69c840d56446fac59fd9e48b69fb7483673e353"
"Will Bitcoin reach $67,000 on March 29?","Redeem","1.809982","1.809982","","1774851296","0x49fc370a81aa94a9d7c308f248de60df85af18373437a0d858f2f4cd0c435698"
"Will Bitcoin dip to $66,000 March 30-April 5?","Sell","1.366","1.51","Yes","1774899485","0x92bfa184f6e71489482d2cc7c5ae99f154dd1d0f5a9c8a97db15a09081e71a9d"
"Will Bitcoin dip to $68,000 on April 1?","Sell","1.2286899999999998","1.23","Yes","1775052493","0xf1dc3f2b52fe3450ffb3aea96f4f97a456f595dc45acf1df7ebe8972f8e1630e"
"Will Bitcoin dip to $67,000 on March 31?","Sell","1.16374","1.17","Yes","1774955297","0xb789ce48d3003bbb45dc547ec68ffa8050729f6213ec30c545156012fa831d11"
"Will Bitcoin reach $67,000 on March 29?","Sell","1.11881","1.32","Yes","1774786354","0xf853e1e07c9fb7e36c514ccf3b9eae57326c3c9a80519911b6b0a6e34eeedecc"
"Will Bitcoin reach $73,000 on March 25?","Redeem","1.021328","1.021328","","1774562371","0xc451e7353c4ba810607d5ad79fe23aeb0473bbba523a3698fc19871e4fb0a5e6"
"Will Bitcoin reach $69,000 on March 27?","Redeem","1.003","1.003","","1774692603","0x196ea74545b13778bdf74988efe070e52d3b70f17e60e14523de5e4da06bdec4"
"Will Bitcoin reach $73,000 on April 10?","Buy","1","1.928","Yes","1775801517","0x3acd577f7f50d4b6da5727cac5c71a8856fe3c9ef5fc33e3e6547b1ceeebb7c1"
"Will Bitcoin dip to $68,000 on April 1?","Buy","1","1.232","Yes","1775031443","0xb5262b8e23ce01f403d579c1e57569cf0740f72647279f4a6391c807ae952a8f"
"Will Bitcoin reach $74,000 April 6-12?","Buy","0.999999","2.23014","Yes","1775797035","0xc9aa44ea75b9e74b0f183bd78559ae21268bf90f956a3f8d457d2a6bf2480f20"
"Will Bitcoin reach $73,000 on April 9?","Buy","0.999999","3.739988","Yes","1775759389","0xd1da630ac707f353d205e2abfa30a592bbffea2dc82c23105f322798462017b8"
"Will Bitcoin dip to $67,000 on March 31?","Buy","0.999999","1.176765","Yes","1774938989","0x4d028c35b1ce0e2df5b7fb4ec966ccb5d82e3195bece641e792d6df34bb385dc"
"Will Bitcoin dip to $64,000 March 30-April 5?","Buy","0.999999","1.925513","Yes","1774894071","0x2775dedcd1c69c2f815e92f7941153a89a03a95b7ca8f0bf8432eb72de76b822"
